PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,,pts_diff,fg_pct_diff,ft_pct_diff,fg3_pct_diff,ast_diff,reb_diff
120,0.433,0.792,0.425,23,50,1610612766,117,0.444,0.864,0.439,21,52,1,,3,-0.011,-0.072,-0.014,2,-2
99,0.427,0.625,0.295,24,45,1610612765,96,0.402,0.647,0.326,18,51,1,,3,0.025,-0.022,-0.031,6,-6
116,0.4,0.744,0.396,21,43,1610612737,117,0.422,0.837,0.297,24,47,0,,-1,-0.022,-0.093,0.099,-3,-4
107,0.371,0.692,0.262,19,45,1610612755,113,0.533,0.629,0.355,23,48,0,,-6,-0.162,0.063,-0.093,-4,-3
105,0.38,0.737,0.356,27,37,1610612748,117,0.534,0.741,0.514,30,51,0,,-12,-0.154,-0.004,-0.158,-3,-14
119,0.513,0.788,0.517,27,41,1610612739,83,0.395,0.611,0.387,20,35,1,,36,0.118,0.177,0.13,7,6
89,0.348,0.81,0.178,18,48,1610612751,113,0.432,0.778,0.457,26,53,0,,-24,-0.084,0.032,-0.279,-8,-5
127,0.512,0.614,0.364,25,51,1610612749,113,0.422,0.9,0.25,21,44,1,,14,0.09,-0.286,0.114,4,7
103,0.411,0.737,0.395,21,51,1610612741,105,0.424,0.588,0.268,27,56,0,,-2,-0.013,0.149,0.127,-6,-5
129,0.474,0.778,0.409,30,53,1610612757,96,0.371,0.87,0.303,17,42,1,,33,0.103,-0.092,0.106,13,11
113,0.477,0.846,0.409,26,46,1610612747,114,0.506,0.593,0.533,25,33,0,,-1,-0.029,0.253,-0.124,1,13
115,0.474,0.917,0.324,26,53,1610612766,123,0.475,0.9,0.439,32,43,0,,-8,-0.001,0.017,-0.115,-6,10
86,0.397,0.682,0.265,18,42,1610612765,97,0.494,0.583,0.4,20,42,0,,-11,-0.097,0.099,-0.135,-2,0
128,0.527,0.929,0.395,26,42,1610612759,106,0.409,0.844,0.212,17,41,1,,22,0.118,0.085,0.183,9,1
128,0.474,0.773,0.38,33,58,1610612737,106,0.381,0.864,0.289,25,46,1,,22,0.093,-0.091,0.091,8,12
127,0.424,0.92,0.455,28,45,1610612750,129,0.469,0.793,0.389,27,55,0,,-2,-0.045,0.127,0.066,1,-10
105,0.372,0.757,0.233,22,51,1610612744,113,0.424,0.833,0.465,20,54,0,,-8,-0.052,-0.076,-0.232,2,-3
105,0.461,0.87,0.5,23,37,1610612762,125,0.495,0.733,0.462,38,40,0,,-20,-0.034,0.137,0.038,-15,-3
100,0.458,0.762,0.235,28,38,1610612739,93,0.402,0.778,0.5,23,44,1,,7,0.056,-0.016,-0.265,5,-6
103,0.381,0.68,0.324,22,46,1610612741,124,0.542,0.643,0.333,26,61,0,,-21,-0.161,0.037,-0.009,-4,-15
126,0.523,0.739,0.413,39,55,1610612757,95,0.378,0.75,0.265,20,33,1,,31,0.145,-0.011,0.148,19,22
107,0.407,0.8,0.31,26,45,1610612747,112,0.476,0.75,0.4,20,47,0,,-5,-0.069,0.05,-0.09,6,-2
108,0.471,0.75,0.241,23,42,1610612738,99,0.434,0.727,0.282,19,42,1,,9,0.037,0.023,-0.041,4,0
112,0.44,0.654,0.333,23,51,1610612759,98,0.429,0.593,0.323,23,43,1,,14,0.011,0.061,0.01,0,8
114,0.467,0.577,0.357,23,49,1610612744,113,0.427,0.621,0.302,28,53,1,,1,0.04,-0.044,0.055,-5,-4
116,0.514,0.811,0.375,24,52,1610612754,106,0.451,0.538,0.425,26,33,1,,10,0.063,0.273,-0.05,-2,19
109,0.457,0.719,0.333,33,38,1610612761,112,0.476,0.739,0.341,23,37,0,,-3,-0.019,-0.02,-0.008,10,1
92,0.427,0.818,0.283,26,35,1610612740,114,0.447,0.839,0.316,20,51,0,,-22,-0.02,-0.021,-0.033,6,-16
112,0.5,0.609,0.364,29,42,1610612742,128,0.463,0.692,0.478,22,49,0,,-16,0.037,-0.083,-0.114,7,-7
104,0.402,0.719,0.275,20,47,1610612763,123,0.5,0.645,0.333,29,51,0,,-19,-0.098,0.074,-0.058,-9,-4
111,0.427,0.854,0.308,18,54,1610612756,92,0.42,0.667,0.286,16,37,1,,19,0.007,0.187,0.022,2,17
116,0.427,0.676,0.395,27,61,1610612753,107,0.402,0.667,0.306,23,52,1,,9,0.025,0.009,0.089,4,9
119,0.514,0.644,0.467,23,41,1610612764,114,0.433,0.727,0.378,26,47,1,,5,0.081,-0.083,0.089,-3,-6
99,0.421,0.676,0.343,23,42,1610612752,91,0.393,0.654,0.242,19,48,1,,8,0.028,0.022,0.101,4,-6
104,0.394,0.696,0.35,26,57,1610612745,91,0.345,0.864,0.255,15,47,1,,13,0.049,-0.168,0.095,11,10
131,0.568,0.677,0.72,28,45,1610612746,106,0.464,0.708,0.314,27,34,1,,25,0.104,-0.031,0.406,1,11
106,0.4,0.815,0.4,19,42,1610612758,121,0.432,0.775,0.286,27,50,0,,-15,-0.032,0.04,0.114,-8,-8
100,0.395,0.634,0.345,24,54,1610612761,111,0.411,0.643,0.365,27,46,0,,-11,-0.016,-0.009,-0.02,-3,8
107,0.494,0.625,0.31,20,48,1610612754,104,0.425,0.7,0.341,26,38,1,,3,0.069,-0.075,-0.031,-6,10
108,0.376,0.68,0.395,23,45,1610612760,121,0.489,0.9,0.548,21,58,0,,-13,-0.113,-0.22,-0.153,2,-13
102,0.404,0.85,0.237,24,53,1610612742,112,0.414,0.867,0.395,27,51,0,,-10,-0.01,-0.017,-0.158,-3,2
105,0.395,0.75,0.371,17,51,1610612763,107,0.426,0.696,0.275,30,49,0,,-2,-0.031,0.054,0.096,-13,2
107,0.438,0.743,0.275,25,39,1610612743,105,0.43,0.72,0.28,20,48,1,,2,0.008,0.023,-0.005,5,-9
119,0.5,0.741,0.415,21,45,1610612756,105,0.433,0.81,0.345,22,48,1,,14,0.067,-0.069,0.07,-1,-3
112,0.37,0.829,0.313,20,61,1610612753,116,0.457,0.69,0.286,26,49,0,,-4,-0.087,0.139,0.027,-6,12
84,0.325,0.88,0.256,17,41,1610612752,90,0.458,0.474,0.217,23,54,0,,-6,-0.133,0.406,0.039,-6,-13
104,0.413,0.73,0.324,20,56,1610612745,125,0.434,0.714,0.462,25,47,0,,-21,-0.021,0.016,-0.138,-5,9
87,0.357,0.8,0.318,15,46,1610612746,81,0.357,0.647,0.278,15,55,1,,6,0,0.153,0.04,0,-9
127,0.511,0.727,0.5,22,55,1610612758,102,0.368,0.727,0.32,24,44,1,,25,0.143,0,0.18,-2,11
93,0.443,0.591,0.357,25,41,1610612747,106,0.483,0.643,0.314,23,46,0,,-13,-0.04,-0.052,0.043,2,-5
108,0.463,0.857,0.368,21,41,1610612748,111,0.458,0.955,0.424,26,35,0,,-3,0.005,-0.098,-0.056,-5,6
96,0.427,0.808,0.344,18,39,1610612747,102,0.443,0.857,0.359,25,42,0,,-6,-0.016,-0.049,-0.015,-7,-3
115,0.513,0.913,0.353,25,37,1610612747,104,0.43,0.759,0.333,23,43,1,,11,0.083,0.154,0.02,2,-6
124,0.505,0.588,0.34,32,44,1610612748,114,0.507,0.912,0.407,29,37,1,,10,-0.002,-0.324,-0.067,3,7
116,0.452,0.926,0.395,26,54,1610612748,98,0.427,0.786,0.314,23,36,1,,18,0.025,0.14,0.081,3,18
125,0.563,0.846,0.481,30,40,1610612738,113,0.434,0.8,0.326,26,42,1,,12,0.129,0.046,0.155,4,-2
117,0.545,0.828,0.375,24,43,1610612743,107,0.422,0.885,0.267,23,36,1,,10,0.123,-0.057,0.108,1,7
121,0.452,0.862,0.316,29,50,1610612748,108,0.453,0.793,0.194,27,38,1,,13,-0.001,0.069,0.122,2,12
108,0.506,0.87,0.357,22,33,1610612747,114,0.475,0.8,0.333,23,41,0,,-6,0.031,0.07,0.024,-1,-8
112,0.429,0.889,0.27,20,40,1610612738,109,0.476,0.81,0.35,28,46,1,,3,-0.047,0.079,-0.08,-8,-6
